# M R
1.404545454545454541e+00 1.263636363636363669e+01
1.505555555555555536e+00 1.271717171717171802e+01
1.429797979797979846e+00 1.207070707070707094e+01
1.442424242424242387e+00 1.263636363636363669e+01
1.530808080808080840e+00 1.271717171717171802e+01
1.328787878787878851e+00 1.239393939393939448e+01
1.391919191919192000e+00 1.287878787878787890e+01
1.492929292929292995e+00 1.287878787878787890e+01
1.480303030303030454e+00 1.287878787878787890e+01
1.505555555555555536e+00 1.263636363636363669e+01
1.290909090909091006e+00 1.190909090909091006e+01
1.568686868686868685e+00 1.336363636363636331e+01
1.556060606060606144e+00 1.312121212121212110e+01
1.518181818181818077e+00 1.263636363636363669e+01
1.682323232323232443e+00 1.457575757575757613e+01
1.568686868686868685e+00 1.352525252525252597e+01
